branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,CPI
1417047,1402668,891,2029,577,21282,26516857,43698072,22022,527253,325717,47063181,10835,169346,682131,47372,54257,2.41
1457432,1438417,811,2124,849,21048,26106332,53776957,26936,565091,350052,50434490,10534,136608,462907,29085,28290,2.4
1551742,1543055,1275,2820,1016,26625,23847060,79506153,11575,469139,332284,61142608,21870,151859,326177,34020,25805,2.37
1444457,1474006,777,2230,641,20821,23789546,86617124,12343,385395,302992,86603980,22212,176774,1368855,23092,68079,2.36
1539707,1539444,607,1589,791,24782,22768985,102411823,27094,455083,295679,81824682,29837,156631,1941207,100993,80006,2.19
1561883,1543859,1314,2507,975,23887,26688028,54632065,25193,531200,309856,87533727,20253,119241,2416876,119881,78006,2.11
1512541,1531201,1418,1507,636,17302,27829717,45157870,15831,524055,339995,60086929,14234,120746,2423993,118243,96505,2.06
1401398,1441845,770,2352,820,18303,27330997,41884231,16899,549507,337475,56782199,22079,127701,1664949,103452,90056,2.05
1351164,1333293,741,1800,992,25386,26983231,49972482,10732,490303,360913,44744519,15565,173396,580417,42386,61035,2.2
1388454,1378781,1315,3090,971,22639,27637709,44747431,24219,490456,317365,49349858,18690,171860,716861,30902,51524,2.32
1364967,1378706,967,2299,716,23357,26651975,51275483,21613,545539,332751,46133689,25770,186749,741504,38461,55882,2.36
1412228,1431672,820,2151,971,24055,25195527,68135375,29532,563477,353867,41174468,22482,150384,388826,24189,42415,2.39
1539103,1532594,1005,3053,955,32501,25357381,77379205,24607,503772,299666,72683272,14793,133329,1210672,33455,57048,2.38
1442803,1435324,1146,1690,738,23768,21912318,93819002,26623,497225,322887,60590478,15712,139902,770995,49962,56641,2.39
1508064,1531429,501,2641,1088,20516,21960501,122251727,16164,385822,281360,104844762,29089,202350,1182334,6514,39376,2.37
1538223,1533803,1024,2335,992,40474,25490242,79184785,30286,435418,271752,101023037,33381,145899,1049392,40786,55871,2.29
1562536,1571480,644,2050,577,16672,26953615,50650255,25454,485988,278525,108715577,39826,123650,2820309,110470,73573,2.25
1566068,1555013,674,2139,1029,21611,27354936,45209818,20646,490568,306399,71487399,17930,136561,2601503,140060,100772,2.12
1422010,1481167,598,2867,1033,30289,27273075,46341993,29960,573279,344888,53033217,18764,108446,1545344,95739,87382,2.05
1387259,1367820,841,1909,766,17769,27145711,45961366,15555,484065,339606,44106458,19724,161428,888433,54020,82610,2.13
1402248,1377820,778,1833,812,19554,27300884,47313112,10369,486065,345489,52457161,24263,186855,556389,35103,54337,2.39
1363547,1360816,749,2076,972,24415,26695260,55034698,27989,512956,330927,49882064,20796,172112,401763,19028,35708,2.34
1476139,1460589,1289,3135,1004,29483,25801075,51757113,21267,544126,342555,39990182,18936,180489,633061,25178,32585,2.37
1436306,1468155,739,2020,690,23836,24111402,68066371,23326,512076,335661,41012846,25379,178220,746227,63798,78997,2.24
1467635,1437463,648,1818,879,25316,21493170,136534364,13927,488103,337194,52164231,27790,158656,70122,26177,32844,2.39
1485421,1513864,741,4008,1007,21422,23834483,95611437,14015,398813,320710,65609025,22577,180331,464857,24207,36116,2.38
1560481,1532120,512,1568,609,14865,27440575,53381539,12176,404494,295715,107827993,20977,179772,1080343,13531,54643,2.32
1581280,1566849,632,982,1021,23062,26015901,61159475,22383,443690,301981,97247535,28629,186726,2411285,72571,50265,2.31
1542847,1559831,933,2566,958,28920,27596326,44964753,16845,521693,312178,74561395,22045,153962,2644258,157788,73764,2.15
1480513,1512240,715,2159,615,18077,26774250,50363237,20438,515451,332616,55220566,22082,150131,1790100,156125,73673,2.13
1393369,1387136,674,1860,863,20308,27945813,47199177,21794,575029,346469,43879019,19918,152558,950876,59742,79052,2.14
1405522,1422193,804,2681,875,25538,26704186,42466848,19916,527603,340305,45721094,10780,138657,761959,56509,43754,2.27
1369784,1422013,1190,2296,746,19860,27826682,42643106,15922,534794,353951,47111996,13013,143869,647414,37023,54637,2.38
1382269,1397011,812,1925,895,22819,24578046,66504236,10915,512679,358658,53018062,27479,164957,1469580,62162,69377,2.22
1492892,1452047,747,2071,719,29480,21999778,123969359,30447,458819,304051,57917548,24612,158553,456752,26592,30255,2.4
1554074,1566453,925,2172,1177,47817,22719708,87863858,40310,486556,320545,68397085,25837,156280,853494,33051,55186,2.39
1541174,1541744,708,2316,813,23329,24458038,85480814,41747,471530,279759,97229831,14498,109928,1420003,64761,87945,2.35
1514903,1546526,1144,3893,1243,29813,26747556,58399772,48775,518894,284793,106684806,22594,128168,1848543,56407,60623,2.26
1519379,1530696,1238,3965,866,14880,27354181,42692352,11383,497036,330381,86096447,40875,153685,1448707,44520,45894,2.29
1558358,1528837,761,1720,598,23485,26978919,45884041,22040,491406,329936,63546355,36579,147007,2097314,107361,82268,1.98
1400550,1450554,803,2290,1201,25144,27324206,52630925,28787,564349,351563,51206554,30313,178908,1235758,64661,63883,2.08
1320004,1340730,1364,3065,1239,34383,27456352,45672123,19635,521854,341268,41260266,17911,141747,534786,46568,58003,2.16
1301068,1330311,904,2375,803,32639,27343297,39780218,21246,543455,337870,49708269,17548,155723,1078968,63576,48059,2.28
1313924,1370491,967,2671,934,31050,26151304,43851778,14484,536114,349754,89913895,37756,151272,1045597,44597,50083,2.33
1404476,1350982,837,2968,724,35269,27016729,51910507,33811,505035,326865,47734400,25108,175385,568969,6739,49853,2.38
1516788,1498463,1226,4977,1042,22114,23075340,87644940,28113,545275,338407,44284340,29749,168009,757161,33365,52467,2.35
1571938,1566794,736,2283,860,34191,22367270,113661817,34042,496675,309075,55746638,13993,177609,809192,46726,79424,2.37
1542847,1539344,1092,2923,1042,27632,23774792,80418907,42886,513282,290855,90698766,15762,121133,770083,34039,40091,2.39
1540261,1569029,1967,4288,971,27215,25496106,57628665,37692,484385,303311,104981144,17910,128286,1741907,53960,63922,2.3
1556239,1512160,1000,1624,919,21770,26447659,49078890,16054,457291,319323,85725712,34847,147199,2101853,106943,79967,2.17
1510074,1532087,942,2085,1122,25884,26672625,57437269,26667,516481,293292,74979738,43507,179626,2967088,172916,86591,2.11
1427626,1471319,1092,2774,1016,31412,26875849,49215802,26649,532614,355931,47109085,25620,148162,809993,61956,84366,2.15
1403270,1405367,908,2105,769,25740,27475020,49687364,22836,536343,321752,42483676,21214,144263,946071,42501,54684,2.21
1360781,1399579,523,2289,1088,27800,26978715,65401480,15582,515523,320967,74509789,32797,188711,678885,54256,65959,2.28
1271354,1237471,845,2674,728,36025,27368559,50258226,35381,504160,327447,47088112,20135,174343,412890,6487,44903,2.38
1457889,1418982,1388,3640,1125,30283,26566409,61014746,30204,529461,321495,47837643,26646,174585,649896,27572,27563,2.4
1482851,1511519,736,1917,699,29645,21701584,111971142,24614,458961,288961,68228072,11534,170001,802831,46843,66322,2.38
1534795,1475577,1077,2036,928,20941,22456592,91079287,30657,540864,333644,65571901,11957,126628,500798,29961,43935,2.38
1511082,1529535,1510,3435,1123,23170,23990502,86468162,13807,444591,290243,102754970,24903,147432,929863,54089,64582,2.33
1586699,1543539,736,2435,838,34174,25251162,75884368,24324,424270,297748,94960027,37599,177288,1563444,11165,56635,2.3
1578967,1569691,812,2193,1017,23415,27360735,52018395,27902,477958,311743,83572848,45264,185603,2650822,95267,80863,2.21
1471764,1491104,937,3088,1071,30591,27426758,45697896,21867,520094,311086,70374908,42470,158992,2235419,110800,84249,2.16
1454466,1485339,535,1920,694,31742,25559951,70994238,30772,514568,346079,48785166,32397,154107,1082562,48943,68059,2.32
1452396,1440449,1009,2995,1130,40738,24059948,85233692,34812,581133,345201,51222530,24803,162705,920259,48877,64346,2.24
